Task,Model,MAP@1,MAP@3,MAP@5,MAP@10,MAP@100,MAP@1000
cord19,bm25,0.00209,,0.00695,0.01157,0.05445,
hotpotqa,bm25,0.25598,,0.38541,0.40146,0.41373,
hotpotqa,dpr,0.14,0.185,0.2,0.20932,0.22162,0.22238
hotpotqa,hierarchical-analyzed,0.18153,0.24465,0.26041,0.27267,0.28356,0.28467
hotpotqa_short,dpr,0.235,0.29333,0.30358,0.31437,0.32038,0.32138
hotpotqa_short,hierarchical,0.10539,0.14604,0.15747,0.16835,0.18001,0.18141
nq,bert,0.34116,0.43482,0.45369,0.46569,0.47274,0.47304
nq,bm25,0.26136,,0.34954,0.36134,0.37041,
nq,dpr,0.31,0.41,0.4215,0.43473,0.44145,0.44187
nq,hierarchical-analyzed,0.31065,0.39866,0.4156,0.42813,0.43575,0.43609
nq_short,dpr,0.09231,0.12988,0.14218,0.1544,0.1667,0.16793
wikipedia,hierarchical,0.21309,0.28487,0.30132,0.31369,0.32345,0.32424
wikir,bert,0.01001,0.01881,0.02364,0.03045,0.04839,0.05715
wikir,bm25,0.01165,,0.03,0.03973,0.06372,
wikir,dpr,0.0031,0.00656,0.00781,0.00934,0.01429,0.01638
wikir,hierarchical,0.00506,0.00984,0.01284,0.01688,0.02902,0.03583
wikir,hierarchical-analyzed,0.0064,0.01148,0.01429,0.01837,0.03083,0.03823
