Task,Model,NDCG@1,NDCG@3,NDCG@5,NDCG@10,NDCG@100,NDCG@1000
hotpotqa,bert,0.49507,0.40647,0.43513,0.46074,0.50329,0.52458
hotpotqa,bm25,0.49885,0.43106,0.46284,0.49268,0.53992,0.53992
hotpotqa,dpr,0.2928,0.24397,0.26238,0.28332,0.32692,0.35492
hotpotqa,hierarchical,0.37927,0.31692,0.34318,0.36747,0.41587,0.44066
hotpotqa,longtriever,0.36603,0.30719,0.33069,0.35551,0.40339,0.42872
nq,bert,0.59228,0.7039,0.72902,0.7443,0.76132,0.76452
nq,bm25,0.26136,0.35786,0.38592,0.41436,0.4595,0.4595
nq,dpr,0.50181,0.61592,0.64247,0.66367,0.68708,0.69324
nq,hierarchical,0.57521,0.68356,0.70557,0.72442,0.74376,0.74771
nq,longtriever,0.56625,0.68132,0.70602,0.72351,0.74129,0.74513
trec,covid-bm25,0.5,0.51234,0.46208,0.45232,0.33611,0.18014
trec,covid-dpr,0.08,0.05754,0.05676,0.05573,0.06415,0.14156
wikipedia,bert,0.40582,0.40048,0.42758,0.45387,0.49458,0.51108
wikipedia,hierarchical,0.32112,0.32817,0.35605,0.38341,0.42821,0.4476
wikir,bert,0.1333,0.11598,0.10657,0.10111,0.1341,0.20663
wikir,bm25,0.12223,,0.11065,0.11362,0.1796,
wikir,dpr,0.07,0.05408,0.04886,0.04592,0.06578,0.10535
wikir,hierarchical,0.0856,0.07509,0.07008,0.06759,0.09689,0.1661
