Task,Model,P@1,P@3,P@5,P@10,P@100,P@1000
hotpotqa,bert,0.49507,0.25555,0.17579,0.10058,0.01338,0.00161
hotpotqa,bm25,0.49885,0.27631,0.19043,0.10999,0.01465,0.00147
hotpotqa,dpr,0.2928,0.15534,0.10763,0.06423,0.00987,0.00136
hotpotqa,hierarchical,0.37927,0.20155,0.14149,0.0828,0.01206,0.00153
hotpotqa,longtriever,0.36603,0.19533,0.13566,0.08015,0.01175,0.00151
nq,bert,0.59228,0.25994,0.16808,0.08869,0.00964,0.00099
nq,bm25,0.26136,0.14231,0.09904,0.05829,0.00796,0.0008
nq,dpr,0.50181,0.2317,0.15191,0.08248,0.00934,0.00098
nq,hierarchical,0.57521,0.25261,0.16224,0.0869,0.00958,0.00099
nq,longtriever,0.56625,0.25418,0.16445,0.08756,0.00959,0.00099
trec,covid-bm25,0.66667,0.61111,0.53333,0.5,0.36,0.036
trec,covid-dpr,0.1,0.06,0.064,0.064,0.0466,0.01826
wikipedia,bert,0.40582,0.21549,0.14683,0.08413,0.0111,0.00131
wikipedia,hierarchical,0.32112,0.17515,0.12309,0.07274,0.01025,0.00126
wikir,bert,0.1333,0.11121,0.09947,0.08453,0.03752,0.0118
wikir,bm25,0.12223,,0.10789,0.09402,0.04031,
wikir,dpr,0.07,0.05,0.044,0.037,0.0188,0.00601
wikir,hierarchical,0.0856,0.07233,0.06617,0.05775,0.02954,0.01053
