Task,Model,Recall@1,Recall@3,Recall@5,Recall@10,Recall@100,Recall@1000
cord19,bm25,0.00209,,0.008,0.0149,0.10115,
hotpotqa,bm25,0.25598,,0.48797,0.56317,0.74997,
hotpotqa,dpr,0.14,0.24,0.28,0.325,0.52,0.675
hotpotqa,hierarchical-analyzed,0.18153,0.2903,0.33874,0.40278,0.59364,0.7653
hotpotqa_short,dpr,0.235,0.33,0.365,0.42,0.565,0.735
hotpotqa_short,hierarchical,0.10539,0.18612,0.22862,0.29341,0.52027,0.74341
nq,bert,0.34116,0.5511,0.63367,0.72178,0.87433,0.94261
nq,bm25,0.26136,,0.4952,0.58289,0.79624,
nq,dpr,0.31,0.54,0.59,0.69,0.86,0.94
nq,hierarchical-analyzed,0.31065,0.50928,0.58374,0.67485,0.8498,0.92938
nq_short,dpr,0.09231,0.17588,0.2262,0.30826,0.58704,0.8065
wikipedia,hierarchical,0.21309,0.35363,0.41501,0.49144,0.68384,0.82017
wikir,bert,0.01001,0.02413,0.03475,0.05519,0.18411,0.43347
wikir,bm25,0.01165,,0.05032,0.08461,0.27783,
wikir,dpr,0.0031,0.01052,0.01561,0.02296,0.10285,0.24287
wikir,hierarchical,0.00506,0.01299,0.01981,0.03267,0.12264,0.30898
wikir,hierarchical-analyzed,0.0064,0.01501,0.02174,0.03537,0.13993,0.37937
